번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"137","05012013","라이브플렉스 21R","KOSDAQ","신주인수권증서","보통주","2013/04/23","2013/04/30",,,,,"0","13096516",,
"138","11539011","락앤락 3R","KOSPI","신주인수권증서","보통주","2011/10/07","2011/10/14",,,,,"0","4191401",,
"139","06030012","레드로버 13R","KOSDAQ","신주인수권증서","보통주","2012/06/20","2012/06/27",,,,,"0","2298230",,
"140","06030016","레드로버 29R","KOSDAQ","신주인수권증서","보통주","2016/07/27","2016/08/03",,,,,"0","8593630",,
"141","04744016","레이젠 7R","KOSDAQ","신주인수권증서","보통주","2016/11/14","2016/11/21",,,,,"0","11297500",,
"142","2151001B","로보로보 6R","KOSDAQ","신주인수권증서","보통주","2021/07/12","2021/07/19",,,,,"0","2538801",,
"143","HKG19019","로스웰 3R","KOSDAQ","신주인수권증서","보통주","2019/06/24","2019/07/01",,,,,"0","50993919",,
"144","07128017","로체시스템즈 5R","KOSDAQ","신주인수권증서","보통주","2017/02/20","2017/02/27",,,,,"0","1998991",,
"145","03235018","롯데관광개발 8R","KOSPI","신주인수권증서","보통주","2018/09/19","2018/10/01",,,,,"0","17484363",,
"146","3305901B","롯데리츠 3R","KOSPI","신주인수권증서","보통주","2021/02/17","2021/02/24",,,,,"0","70985372",,
"147","00040012","롯데손해보험 30R","KOSPI","신주인수권증서","보통주","2012/11/16","2012/11/23",,,,,"0","20216262",,
"148","00040015","롯데손해보험 31R","KOSPI","신주인수권증서","보통주","2015/05/15","2015/05/22",,,,,"0","53595982",,
"149","0111701C","롯데케미칼 6R","KOSPI","신주인수권증서","보통주","2023/01/04","2023/01/11",,,,,"0","6767524",,
"150","08280013","루미마이크로15R","KOSDAQ","신주인수권증서","보통주","2013/07/22","2013/07/29",,,,,"0","4944679",,
"151","08537016","루트로닉 51R","KOSDAQ","신주인수권증서","보통주","2016/11/16","2016/11/23",,,,,"0","353433",,
"152","13110014","리켐 6R","KOSDAQ","신주인수권증서","보통주","2014/02/04","2014/02/11",,,,,"0","1698482",,
"153","04250014","링네트10R","KOSDAQ","신주인수권증서","보통주","2014/02/07","2014/02/14",,,,,"0","1231775",,
"154","04250012","링네트9R","KOSDAQ","신주인수권증서","보통주","2012/09/27","2012/10/06",,,,,"0","1498271",,
"155","02774016","마니커 10R","KOSPI","신주인수권증서","보통주","2016/09/29","2016/10/07",,,,,"0","26673397",,
"156","0277401A","마니커 13R","KOSPI","신주인수권증서","보통주","2020/09/03","2020/09/10",,,,,"0","31980962",,
"157","0277401B","마니커 15R","KOSPI","신주인수권증서","보통주","2021/11/17","2021/11/24",,,,,"0","19034695",,
"158","02774012","마니커 8R","KOSPI","신주인수권증서","보통주","2012/08/16","2012/08/23",,,,,"0","19997709",,
"159","1955001B","마니커에프앤지 4R","KOSDAQ","신주인수권증서","보통주","2021/05/11","2021/05/18",,,,,"0","4991634",,
"160","14107016","맥스로텍 11R","KOSDAQ","신주인수권증서","보통주","2016/11/22","2016/11/29",,,,,"0","9496153",,
"161","3770301C","맥스트 5R","KOSDAQ","신주인수권증서","보통주","2022/03/21","2022/03/28",,,,,"0","1004216",,
"162","0889801A","맥쿼리인프라 6R","KOSPI","신주인수권증서","보통주","2020/11/30","2020/12/07",,,,,"0","23112116",,
"163","0889801B","맥쿼리인프라 7R","KOSPI","신주인수권증서","보통주","2021/07/21","2021/07/28",,,,,"0","32601819",,
"164","0541801B","메디콕스 53R","KOSDAQ","신주인수권증서","보통주","2021/04/15","2021/04/22",,,,,"0","21490125",,
"165","0869001A","메디톡스 16R","KOSDAQ","신주인수권증서","보통주","2020/09/24","2020/10/06",,,,,"0","954150",,
"166","07816011","메디포스트 13R","KOSDAQ","신주인수권증서","보통주","2011/10/27","2011/11/03",,,,,"0","630366",,
"167","06565017","메디프론 12R","KOSDAQ","신주인수권증서","보통주","2017/11/28","2017/12/05",,,,,"0","2854011",,
"168","13804014","메리츠금융지주회사3R","KOSPI","신주인수권증서","보통주","2014/08/29","2014/09/05",,,,,"0","26168564",,
"169","00856015","메리츠종금증권55R","KOSPI","신주인수권증서","보통주","2015/08/05","2015/08/12",,,,,"0","94386967",,
"170","0581101B","멕아이씨에스 7R","KOSDAQ","신주인수권증서","보통주","2021/02/01","2021/02/08",,,,,"0","978228",,
"171","01718016","명문제약 12R","KOSPI","신주인수권증서","보통주","2016/06/22","2016/06/29",,,,,"0","3584655",,
"172","0171801A","명문제약 16R","KOSPI","신주인수권증서","보통주","2020/06/03","2020/06/10",,,,,"0","5653046",,
"173","00536015","모나미 22R","KOSPI","신주인수권증서","보통주","2015/05/12","2015/05/19",,,,,"0","3996498",,
"174","01286019","모베이스전자 14R","KOSDAQ","신주인수권증서","보통주","2019/12/06","2019/12/13",,,,,"0","24996758",,
"175","1189901A","모트렉스 8R","KOSDAQ","신주인수권증서","보통주","2020/02/07","2020/02/14",,,,,"0","5437443",,
"176","02556012","미래산업 17R","KOSPI","신주인수권증서","보통주","2012/07/17","2012/07/24",,,,,"0","47786934",,
"177","02556013","미래산업 20R","KOSPI","신주인수권증서","보통주","2014/01/03","2014/01/10",,,,,"0","39886742",,
"178","02556016","미래산업 25R","KOSPI","신주인수권증서","보통주","2016/07/12","2016/07/19",,,,,"0","78360671",,
"179","02556014","미래산업22R","KOSPI","신주인수권증서","보통주","2014/10/16","2014/10/23",,,,,"0","71972495",,
"180","00712017","미래아이앤지 30R","KOSPI","신주인수권증서","보통주","2017/08/01","2017/08/08",,,,,"0","39997050",,
"181","03762015","미래에셋증권 11R","KOSPI","신주인수권증서","보통주","2015/10/20","2015/10/27",,,,,"0","37785919",,
"182","03562014","바른손이앤에이48R","KOSDAQ","신주인수권증서","보통주","2014/07/10","2014/07/17",,,,,"0","19996762",,
"183","06452011","바른전자 10R","KOSDAQ","신주인수권증서","보통주","2011/07/06","2011/07/13",,,,,"0","12796321",,
"184","06452018","바른전자 17R","KOSDAQ","신주인수권증서","보통주","2018/11/02","2018/11/09",,,,,"0","29989909",,
"185","08499016","바이로메드 29R","KOSDAQ","신주인수권증서","보통주","2016/09/28","2016/10/06",,,,,"0","1636581",,
"186","06455017","바이오니아 13R","KOSDAQ","신주인수권증서","보통주","2017/06/01","2017/06/09",,,,,"0","4497127",,
"187","1427601A","바이오리더스 38R","KOSDAQ","신주인수권증서","보통주","2020/10/22","2020/10/29",,,,,"0","8217248",,
"188","08604014","바이오톡스텍15R","KOSDAQ","신주인수권증서","보통주","2014/10/17","2014/10/24",,,,,"0","3197643",,
"189","01180010","배명금속 13R","KOSPI","신주인수권증서","보통주","2011/01/03","2011/01/10",,,,,"0","29000000",,
"190","00134015","백광산업 24R","KOSPI","신주인수권증서","보통주","2015/05/12","2015/05/19",,,,,"0","10964454",,
"191","04631016","백금T&A 5R","KOSDAQ","신주인수권증서","보통주","2016/09/27","2016/10/05",,,,,"0","2862037",,
"192","04631014","백금T&A4R","KOSDAQ","신주인수권증서","보통주","2014/10/15","2014/10/22",,,,,"0","4510498",,
"193","03662017","버추얼텍 16R","KOSDAQ","신주인수권증서","보통주","2017/04/17","2017/04/24",,,,,"0","7995739",,
"194","00241015","범양건영 30R","KOSPI","신주인수권증서","보통주","2015/06/04","2015/06/11",,,,,"0","679409",,
"195","0038501B","보령제약 27R","KOSPI","신주인수권증서","보통주","2021/06/22","2021/06/29",,,,,"0","4423717",,
"196","00474015","보루네오 20R","KOSPI","신주인수권증서","보통주","2015/06/26","2015/07/03",,,,,"0","16163857",,
"197","00691016","보성파워텍 17R","KOSDAQ","신주인수권증서","보통주","2016/07/22","2016/07/29",,,,,"0","7982241",,
"198","00503015","부산주공 19R","KOSPI","신주인수권증서","보통주","2015/11/20","2015/11/27",,,,,"0","6919809",,
"199","00503018","부산주공 23R","KOSPI","신주인수권증서","보통주","2018/06/04","2018/06/12",,,,,"0","10397248",,
