번호,종목코드,종목명,시장구분,증권구분,주식종류,상장일,폐지일,폐지사유,정리매매기간_시작일,정리매매기간_종료일,업종,액면가,상장주식수,이전상장후_종목코드,이전상장후_종목명
"169","03294018","원익 12R","KOSDAQ","신주인수권증서","보통주","2018/03/26","2018/04/02",,,,,"0","5298283",,
"170","0952701A","웨이브일렉트로 13R","KOSDAQ","신주인수권증서","보통주","2020/09/04","2020/09/11",,,,,"0","3697596",,
"171","01800018","유니슨 20R","KOSDAQ","신주인수권증서","보통주","2018/01/22","2018/01/29",,,,,"0","12988127",,
"172","1422101C","유니트론텍 7R","KOSDAQ","신주인수권증서","보통주","2022/05/16","2022/05/23",,,,,"0","2993990",,
"173","2066501A","유바이오로직스 44R","KOSDAQ","신주인수권증서","보통주","2020/12/02","2020/12/09",,,,,"0","3661565",,
"174","2630501C","유틸렉스 29R","KOSDAQ","신주인수권증서","보통주","2022/06/15","2022/06/22",,,,,"0","6991798",,
"175","2157901A","이노인스트루먼트 7R","KOSDAQ","신주인수권증서","보통주","2020/03/18","2020/03/25",,,,,"0","19997198",,
"176","06544018","이루온 10R","KOSDAQ","신주인수권증서","보통주","2018/08/27","2018/09/03",,,,,"0","11996822",,
"177","0076601B","이수페타시스 5R","KOSPI","신주인수권증서","보통주","2021/10/13","2021/10/20",,,,,"0","17575605",,
"178","0059501A","이수화학 21R","KOSPI","신주인수권증서","보통주","2020/07/13","2020/07/20",,,,,"0","7793485",,
"179","0911201C","이엠텍 25R","KOSDAQ","신주인수권증서","보통주","2022/06/24","2022/07/01",,,,,"0","1236849",,
"180","2940901B","이오플로우 14R","KOSDAQ","신주인수권증서","보통주","2021/12/21","2021/12/28",,,,,"0","2984797",,
"181","0332301A","인성정보 21R","KOSDAQ","신주인수권증서","보통주","2020/12/28","2021/01/06",,,,,"0","8316762",,
"182","1893001B","인텔리안테크 12R","KOSDAQ","신주인수권증서","보통주","2021/07/08","2021/07/15",,,,,"0","1508237",,
"183","05845018","일야 7R","KOSDAQ","신주인수권증서","보통주","2018/10/18","2018/10/25",,,,,"0","6116768",,
"184","08100019","일진다이아몬드 5R","KOSPI","신주인수권증서","보통주","2019/07/17","2019/07/24",,,,,"0","2333891",,
"185","0207601B","일진디스플 19R","KOSPI","신주인수권증서","보통주","2021/01/25","2021/02/01",,,,,"0","4917362",,
"186","0207601C","일진디스플레이 20R","KOSPI","신주인수권증서","보통주","2022/02/11","2022/02/21",,,,,"0","13627320",,
"187","2216101A","자안 8R","KOSDAQ","신주인수권증서","보통주","2020/11/20","2020/11/27",,,,,"0","139994414",,
"188","04391019","자연과환경 32R","KOSDAQ","신주인수권증서","보통주","2019/07/19","2019/07/26",,,,,"0","19189903",,
"189","0439101B","자연과환경 34R","KOSDAQ","신주인수권증서","보통주","2021/12/21","2021/12/28",,,,,"0","19479628",,
"190","2892201B","자이언트스텝 11R","KOSDAQ","신주인수권증서","보통주","2021/11/24","2021/12/01",,,,,"0","1154837",,
"191","3174001B","자이에스앤디 3R","KOSPI","신주인수권증서","보통주","2021/04/09","2021/04/16",,,,,"0","9589512",,
"192","04963018","재영솔루텍 13R","KOSDAQ","신주인수권증서","보통주","2018/11/29","2018/12/06",,,,,"0","24990971",,
"193","1100201A","전진바이오팜 22R","KOSDAQ","신주인수권증서","보통주","2020/11/05","2020/11/12",,,,,"0","1245159",,
"194","2081401A","정다운 10R","KOSDAQ","신주인수권증서","보통주","2020/09/22","2020/09/29",,,,,"0","10796923",,
"195","0957001C","제넥신 149R","KOSDAQ","신주인수권증서","보통주","2022/12/15","2022/12/22",,,,,"0","5750084",,
"196","3489501C","제이알글로벌리츠 4R","KOSPI","신주인수권증서","보통주","2022/06/28","2022/07/05",,,,,"0","31766270",,
"197","0256201B","제이준코스메틱 92R","KOSPI","신주인수권증서","보통주","2021/07/08","2021/07/15",,,,,"0","18489671",,
"198","03642018","제이콘텐트리 25R","KOSDAQ","신주인수권증서","보통주","2018/08/22","2018/08/29",,,,,"0","29991028",,
"199","00622018","제주은행 27R","KOSPI","신주인수권증서","보통주","2018/10/19","2018/10/26",,,,,"0","7997826",,
"200","0895901A","제주항공 13R","KOSPI","신주인수권증서","보통주","2020/07/22","2020/07/29",,,,,"0","9693746",,
"201","0895901B","제주항공 15R","KOSPI","신주인수권증서","보통주","2021/09/30","2021/10/08",,,,,"0","8976417",,
"202","0895901C","제주항공 16R","KOSPI","신주인수권증서","보통주","2022/10/18","2022/10/25",,,,,"0","21747204",,
"203","0184701B","조일알미늄 14R","KOSPI","신주인수권증서","보통주","2021/11/24","2021/12/01",,,,,"0","15973988",,
"204","0333401A","좋은사람들 8R","KOSDAQ","신주인수권증서","보통주","2020/01/15","2020/03/13",,,,,"0","19987519",,
"205","07202018","중앙백신 4R","KOSDAQ","신주인수권증서","보통주","2018/06/26","2018/07/03",,,,,"0","880281",,
