일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금
"2022/02/18","72430","360","0.50","72500","73100","72340","181937","13233607490"
"2022/02/17","72070","860","1.21","71330","72070","71330","146225","10502115070"
"2022/02/16","71210","-1060","-1.47","71300","71330","71030","134860","9610343590"
"2022/02/15","72270","880","1.23","72000","72290","71930","228459","16475925280"
"2022/02/14","71390","1030","1.46","71650","71680","71200","198350","14189289920"
"2022/02/11","70360","-130","-0.18","70410","70500","70310","51857","3650704110"
"2022/02/10","70490","60","0.09","70430","70670","70430","56966","4020323870"
"2022/02/09","70430","190","0.27","70240","70460","70240","73592","5177933190"
"2022/02/08","70240","230","0.33","70130","70420","70130","102238","7187253460"
"2022/02/07","70010","290","0.42","69750","70040","69750","72279","5059149790"
"2022/02/04","69720","-380","-0.54","70080","70080","69720","87976","6145135220"
"2022/02/03","70100","240","0.34","70190","70190","69890","46940","3291135820"
"2022/01/28","69860","-350","-0.50","69790","69970","69470","108037","7541284620"
"2022/01/27","70210","-810","-1.14","70480","70480","70190","98770","6939881290"
"2022/01/26","71020","210","0.30","71030","71090","70910","99003","7030054050"
"2022/01/25","70810","190","0.27","70740","70910","70710","110785","7844980470"
"2022/01/24","70620","130","0.18","70480","70620","70310","86482","6090193550"
"2022/01/21","70490","140","0.20","70400","70560","70360","104752","7381997910"
"2022/01/20","70350","830","1.19","70050","70430","70050","172315","12120879230"
"2022/01/19","69520","-80","-0.11","69620","69660","69490","52493","3650292540"
"2022/01/18","69600","-200","-0.29","69800","69840","69600","38951","2712973800"
"2022/01/17","69800","60","0.09","69410","69860","69410","69724","4864128490"
"2022/01/14","69740","-120","-0.17","69800","69830","69630","59921","4177348540"
"2022/01/13","69860","60","0.09","69800","69920","69760","72006","5030817020"
"2022/01/12","69800","180","0.26","69900","69990","69700","57248","3995668080"
"2022/01/11","69620","320","0.46","69460","69620","69400","76757","5333820490"
"2022/01/10","69300","-90","-0.13","69390","69540","69300","69268","4807364020"
"2022/01/07","69390","-330","-0.47","69410","69510","69350","94492","6558470310"
"2022/01/06","69720","-360","-0.51","69900","69990","69690","95324","6658194070"
"2022/01/05","70080","560","0.81","69850","70180","69850","140777","9864314480"
"2022/01/04","69520","-570","-0.81","69390","69630","69390","103465","7193192340"
"2022/01/03","70090","1140","1.65","69010","70150","69010","218920","15330247830"
