,회사명,종목코드,회계년도,거래월,종가,자산,부채,당기순이익,현금흐름,매출액,비유동자산,매출총이익,법인세비용,이자비용,감가상각비,유동자산,유동부채,현금및현금성자산,상장주식수,시가총액,pbr,per,pcr,psr,roe,roa,roic,gpa,매직
51,(주)대우건설,47040,2014/12,12.0,5890.0,10260218124.0,7534623220.0,102110187.0,264409212.0,9995022699.0,3272302667.0,763637316.0,54073077.0,0.0,0.0,6987915457.0,4233701439.0,325689623.0,415622638.0,2448017337820.0,898.1589062363465,23974.271419363868,9258.441940441922,244.92363964965517,0.03746344948405436,0.009952048364464186,0.014612395875183811,0.0744270060120605,6.361257445728658e-05
52,(주)대우건설,47040,2015/12,12.0,5600.0,10152059203.0,7321377915.0,142037371.0,685041769.0,9935734306.0,3452193242.0,728017640.0,26752162.0,0.0,10581000.0,6699865961.0,4671530004.0,539046023.0,415622638.0,2327486772800.0,822.2355454380635,16386.439402627355,3397.5837359488073,234.25412768882873,0.05017780405096598,0.01399099120285144,0.02120003173597819,0.07171132727288135,7.230937198317213e-05
53,(주)대우건설,47040,2016/12,12.0,5080.0,9970246457.0,7900336457.0,-754927284.0,358834067.0,11105930098.0,3611245178.0,95055769.0,-256209614.0,0.0,9904000.0,6359001278.0,6608468330.0,816784210.0,415622638.0,2111363001040.0,1020.0264750834577,-2796.7766509284093,5883.95360198618,190.1113173240864,-0.3647150281896314,-0.07571801632546143,-0.11871790095294932,0.009533943760563952,-0.0004770609999759612
54,(주)대우건설,47040,2017/12,12.0,5920.0,8776332436.0,6498263149.0,257893627.0,337412561.0,11766840488.0,3499180269.0,831726694.0,55747526.0,0.0,7927000.0,5277152166.0,5269742791.0,517092528.0,415622638.0,2460486016960.0,1080.075145651178,9540.701123878489,7292.218196227734,209.10337141641722,0.1132071041349323,0.029385125151154882,0.04886984851653606,0.09476927863264455,0.0001271358303844504
55,(주)대우건설,47040,2018/12,12.0,5390.0,8733846010.0,6416124005.0,297330432.0,176191450.0,10605493845.0,3536475219.0,1030107806.0,134465866.0,0.0,8644000.0,5197370791.0,4844628242.0,705949915.0,415622638.0,2240206018820.0,966.5550976291481,7534.39869491731,12714.612535511797,211.2307122667516,0.12828563190864645,0.03404347084429532,0.05720785450113944,0.11794435175758268,0.00019222818863442873
56,(주)대우건설,47040,2019/12,12.0,4740.0,9697696817.0,7209447916.0,201239572.0,-309745995.0,8651852221.0,3648303651.0,855053795.0,106035402.0,0.0,40048000.0,6049393166.0,5084710613.0,756755792.0,415622638.0,1970051304120.0,791.7420573674353,9789.582061524163,-6360.2155828358655,227.7028379354701,0.08087598146597152,0.020751274843654455,0.033266075865434994,0.08817081118695072,0.00015546387691799376
57,(주)대우건설,47040,2020/12,12.0,4985.0,9305916434.0,6628920364.0,282603723.0,408383334.0,8136705737.0,3332772420.0,1000291061.0,94802011.0,0.0,49633000.0,5973144015.0,4936379321.0,806485052.0,415622638.0,2071878850430.0,773.9566275978881,7331.392624399361,5073.367784469872,254.6336216890032,0.10556747772887093,0.030368177600164338,0.047312390650154516,0.10748979620592196,0.00018164581048772793
58,(주)대우건설,47040,2021/12,12.0,5770.0,10457976991.0,7241599093.0,484926502.0,1746844561.0,8685207680.0,3309086774.0,1238864577.0,113466579.0,0.0,41461000.0,7148890217.0,5048964447.0,1061037854.0,415622638.0,2398142621260.0,745.6035009913502,4945.373394461332,1372.8425956154663,276.11805147531027,0.15076788778505654,0.04636905420783785,0.06783241695988686,0.11846120698736963,0.0002488821325501023
59,(주)대우건설,47040,2022/12,12.0,4180.0,11140353752.0,7415736591.0,508010239.0,-423144222.0,10419213132.0,3112183305.0,1253693377.0,205487350.0,0.0,38942000.0,8028170448.0,5406234805.0,1423086552.0,415622638.0,1737302626840.0,466.4379053587247,3419.8181325239,-4105.698569222103,166.7402907331179,0.13639260547884266,0.04560090732386287,0.06327845707235019,0.11253622684781689,0.0004092809740627336
60,(주)대웅,3090,2013/12,12.0,40000.0,898471403.0,211402935.0,74723609.0,86193905.0,843315008.0,457416321.0,385844043.0,21892483.0,0.0,4704310.0,441055082.0,143060853.0,106261162.0,11628396.0,465135840000.0,676.9861544570257,6224.750734403099,5396.388990613664,551.5564594339581,0.10875715082299484,0.08316748730176335,0.16942012925269956,0.42944499035992134,0.00020766891951737142
