회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS),자산(*)(IFRS),당기순이익(손실)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS),연구개발비(IFRS),매출액(수익)(*)(IFRS),* (정상)영업손익(보고서기재)(IFRS)
일정실업(주),008500,2022/12,16400,0,0,6.11,2.19,0,0,1.7,0.61,0,-40.82,33526651,-7168996,6968855,1477792,30712994,-7397968
일진다이아몬드(주),081000,2017/12,20500,41.37,11.12,3.3,0.89,28.4,7.63,3.23,0.87,14.79,8.08,135971953,7606409,11269563,1298860,97342500,10787944
일진다이아몬드(주),081000,2018/12,28150,59.96,29.18,3.83,1.86,36.06,17.55,3.86,1.88,17.94,6.31,136888776,6338941,11545681,2214065,98496038,13009926
일진다이아몬드(주),081000,2019/12,27950,375.92,201.78,3.52,1.89,34.55,18.54,8.98,4.82,70.31,1.14,197289531,1573149,10201448,1738201,65882995,624568
일진다이아몬드(주),081000,2020/12,47900,0,0,6.25,0.96,543.84,83.67,19.92,3.06,0,-3.32,185631589,-5586940,9282450,1109278,50050154,-5212148
일진다이아몬드(주),081000,2021/12,30350,8.83,4.7,3.25,1.73,0,0,12.75,6.79,9335.01,43.2,300545576,88983754,16131138,4514593,61608468,-3985097
일진다이아몬드(주),081000,2022/12,16600,0,0,2.12,0.89,87.56,36.7,7.62,3.19,0,-6.59,261003111,-15684749,15095754,6255022,62281258,-5246520
일진디스플레이(주),020760,2017/12,7700,19.99,7.9,4.45,1.76,9.59,3.79,1.4,0.55,7.61,23.98,167515259,17564292,16709237,5597157,251288112,19729138
일진디스플레이(주),020760,2018/12,3240,146.09,51.2,3.07,1.08,13.32,4.67,1.17,0.41,9.77,2.03,158315437,1659061,14446792,4796304,206363161,194989
일진디스플레이(주),020760,2019/12,3535,0,0,3.37,1.69,0,0,1.79,0.9,0,-44.18,126578231,-29254834,15227101,6336468,95688255,-29529403
