회사명,거래소코드,회계년도,종가,PER(최고)(IFRS),PER(최저)(IFRS),PBR(최고)(IFRS),PBR(최저)(IFRS),PCR(최고)(IFRS),PCR(최저)(IFRS),PSR(최고)(IFRS),PSR(최저)(IFRS),EV/EBITDA(IFRS),자기자본순이익률(IFRS연결),자산(*)(IFRS연결),당기순이익(손실)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결),연구개발비(IFRS연결),매출액(수익)(*)(IFRS연결),* (정상)영업손익(보고서기재)(IFRS연결)
부국철강(주),026940,2021/12,4265,19.97,8.42,1.48,0.62,0,0,0.9,0.38,8.56,,,,,,,
부국철강(주),026940,2022/12,3205,17.6,8.41,1,0.48,28.86,13.78,0.6,0.28,7.11,,,,,,,
부산산업(주),011390,2017/12,29600,77.36,35.26,1.88,0.86,49.11,22.38,1.94,0.88,25.21,6.43,125374530,4777767,11087231,32128,117787064,6762493
부산산업(주),011390,2018/12,163000,117.9,13.89,7.05,0.83,85.59,10.08,7.7,0.91,60.9,5.92,133607586,3645075,11831326,81424,119399948,4545199
부산산업(주),011390,2019/12,145500,0,0,5.64,2.37,1083.02,456.36,8.75,3.69,0,7.2,135954198,6938910,15071236,130016,140962863,8646596
부산산업(주),011390,2020/12,115000,662.18,263.35,4.95,1.97,4450.08,1769.77,7.94,3.16,469.09,4.33,129019981,4125589,13736930,218046,115637559,5537359
부산산업(주),011390,2021/12,103500,0,0,4.87,2.7,619.33,344.28,6.52,3.62,389.7,-3.26,133795624,-3247162,14554020,129285,128014972,397767
부산산업(주),011390,2022/12,72500,0,0,3.77,1.75,0,0,5.59,2.59,0,4.56,134678926,4538775,15824103,14392,152610203,5259377
부산주공(주),005030,2017/12,1130,0,0,1.31,0.42,0,0,0.45,0.15,25.25,,,,,,,
부산주공(주),005030,2018/12,488,0,0,1.16,0.29,0,0,0.32,0.08,50.26,,,,,,,
부산주공(주),005030,2019/12,469,0,0,1.14,0.61,9.37,5,0.17,0.09,55.22,,,,,,,
부산주공(주),005030,2020/12,719,0,0,1.73,0.29,0,0,0.3,0.05,29.7,,,,,,,
부산주공(주),005030,2021/12,591,0,0,2.09,1.24,0,0,0.25,0.15,138.84,,,,,,,
부산주공(주),005030,2022/12,643,0,0,4.34,1.54,4.9,1.73,0.42,0.15,38.67,,,,,,,
비케이탑스(주),030790,2017/12,1575,0,0,2.09,0.71,0,0,1.99,0.68,0,-33.91,101845856,-20340254,13684934,0,86262068,-7818848
비케이탑스(주),030790,2018/12,2225,0,0,6.19,1.64,0,0,7.74,2.05,0,-20.3,190646346,-16579412,15917014,0,69990785,-19810937
비케이탑스(주),030790,2019/12,526,0,0,12.93,1.77,0,0,8.95,1.23,0,,,,,,,
비케이탑스(주),030790,2020/12,15900,0,0,25.71,0.34,0,0,74.54,0.98,0,-212.57,69231085,-48995224,4434773,196620,9857852,-3417463
비케이탑스(주),030790,2021/12,3690,0,0,111.59,15.1,0,0,29.84,4.04,0,-243.33,108096534,-34161711,11226434,14310,24797885,-10337472
비케이탑스(주),030790,2022/12,904,0,0,11.5,0,0,0,21.48,0,0,-228.88,97463452,-14400246,11912718,0,31912090,-9626618
사조동아원(주),008040,2017/12,1410,8.56,6.39,0.74,0.55,3.92,2.93,0.32,0.24,12.18,26.41,489823348,29211409,29143721,47676,395105058,29281851
사조동아원(주),008040,2018/12,1185,15.95,8.79,1.42,0.79,8.25,4.54,0.63,0.35,9.13,9.32,468191705,15718082,33368103,1650,422478552,25802368
사조동아원(주),008040,2019/12,1005,0,0,1.43,0.72,339.85,170.36,0.67,0.34,14.26,0.49,466881522,887403,32934531,4249,412225994,12454480
사조동아원(주),008040,2020/12,957,16.74,7.25,0.75,0.33,5.14,2.23,0.39,0.17,11.29,4.74,446436771,9616139,30405976,1213,396215667,16638781
사조동아원(주),008040,2021/12,1110,91.33,49.3,1.19,0.64,0,0,0.6,0.32,11.07,1.12,448788965,2275542,29883707,214,412139561,19110101
사조동아원(주),008040,2022/12,902,376.98,122.16,1.71,0.55,0,0,0.62,0.2,11.72,0.47,481673723,1035396,37818432,432,631567233,15251124
사조산업(주),007160,2017/12,68300,21.96,15.07,1.76,1.21,7.88,5.4,1.03,0.7,11.58,12.18,1057266170,54127598,50130272,0,816027207,59117627
사조산업(주),007160,2018/12,49850,17.86,10.93,1.36,0.83,31.64,19.38,0.99,0.6,10.99,8.9,1175998145,41196835,38796540,0,782090587,54299408
사조산업(주),007160,2019/12,37300,45.38,27.08,1.08,0.64,157.53,94.01,0.8,0.48,12.64,-3.13,1137411086,-14445129,38262986,0,735428243,18235243
사조산업(주),007160,2020/12,31200,0,0,0.71,0.33,21.58,9.96,0.53,0.24,20.61,1.85,1087398591,12133246,32892649,0,621927420,21917115
사조산업(주),007160,2021/12,47350,36.18,14.57,1.29,0.52,18.88,7.6,0.95,0.38,13.6,10.57,1113856493,55325013,31883491,0,590393764,49237466
사조산업(주),007160,2022/12,45000,18.39,12.21,0.93,0.62,0,0,0.63,0.42,10.99,14.51,1166611978,80131865,34720219,0,660986319,55173554
사조씨푸드(주),014710,2017/12,6180,7.01,5.36,0.65,0.5,0,0,0.36,0.27,10.49,,,,,,,
사조씨푸드(주),014710,2018/12,6340,10.41,7.5,0.6,0.43,36.36,26.21,0.33,0.24,9.91,,,,,,,
사조씨푸드(주),014710,2019/12,5290,0,0,0.6,0.41,3.51,2.44,0.35,0.24,11.79,,,,,,,
사조씨푸드(주),014710,2020/12,6020,17.78,5.09,0.66,0.19,4.39,1.26,0.65,0.19,10.24,,,,,,,
사조씨푸드(주),014710,2021/12,5550,14.8,8.43,0.64,0.36,11.21,6.38,0.83,0.48,8.01,,,,,,,
